taxon,trophicMode,guild,confidenceRanking,functional_group,name
Fusarium,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Lichen Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph,Possible,Pathogen,fusarium
Ilyonectria,Pathotroph,|Plant Pathogen|,Probable,Pathogen,ilyonectria
Dactylonectria,Pathotroph,|Plant Pathogen|,Probable,Pathogen,dactylonectria
Neonectria,Pathotroph,|Plant Pathogen|,Probable,Pathogen,neonectria
Thelonectria,Saprotroph,|Plant Saprotroph|,Highly Probable,Other saprotroph,thelonectria
Trichoderma,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Epiphyte-|Fungal Parasite|-Plant Pathogen-Wood Saprotroph,Probable,Pathogen,trichoderma
Escovopsis,Pathotroph,|Fungal Parasite|,Probable,NA,escovopsis
Hypomyces,Pathotroph,|Fungal Parasite|,Highly Probable,NA,hypomyces
Tolypocladium,Pathotroph-Symbiotroph,|Animal Parasite|-Animal Pathogen-Clavicipitaceous Endophyte-Fungal Parasite,Possible,Pathogen,tolypocladium
Ophiocordyceps,Pathotroph-Saprotroph-Symbiotroph,Endophyte-|Insect Pathogen|-Undefined Saprotroph,Probable,Pathogen,ophiocordyceps
Purpureocillium,Pathotroph-Saprotroph,|Animal Parasite|-Fungal Parasite-Undefined Saprotroph,Probable,Other saprotroph,purpureocillium
Hirsutella,Pathotroph-Saprotroph,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Probable,Pathogen,hirsutella
Drechmeria,Pathotroph-Saprotroph-Symbiotroph,|Animal Parasite|-Endophyte-Undefined Saprotroph,Probable,Endophyte,drechmeria
Cordyceps,Pathotroph-Symbiotroph,Clavicipitaceous Endophyte-Fungal Parasite-|Insect Pathogen|,Possible,Pathogen,cordyceps
Beauveria,Pathotroph-Saprotroph-Symbiotroph,|Animal Parasite|-Animal Pathogen-Endophyte-Undefined Saprotroph,Probable,Pathogen,beauveria
Akanthomyces,Pathotroph-Saprotroph,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Probable,Pathogen,akanthomyces
Metarhizium,Pathotroph-Saprotroph,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Probable,Pathogen,metarhizium
Ustilaginoidea,Pathotroph-Symbiotroph,Clavicipitaceous Endophyte-|Plant Pathogen|,Possible,Pathogen,ustilaginoidea
Pochonia,Pathotroph-Saprotroph,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Probable,Pathogen,pochonia
Stachybotrys,Pathotroph-Saprotroph,Plant Pathogen-Plant Saprotroph-|Wood Saprotroph|,Highly Probable,Pathogen,stachybotrys
Clonostachys,Pathotroph-Saprotroph,Fungal Parasite-Plant Pathogen-Plant Saprotroph-|Wood Saprotroph|,Probable,Pathogen,clonostachys
Hapsidospora,Saprotroph,|Plant Saprotroph|,Probable,Other saprotroph,hapsidospora
Colletotrichum,Pathotroph-Saprotroph-Symbiotroph,Endophyte-|Plant Pathogen|-Plant Saprotroph,Probable,Pathogen,colletotrichum
Verticillium,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Fungal Parasite-|Plant Pathogen|-Plant Saprotroph,Probable,Pathogen,verticillium
Plectosphaerella,Pathotroph-Saprotroph-Symbiotroph,Endophyte-|Plant Pathogen|-Plant Saprotroph,Probable,Pathogen,plectosphaerella
Sodiomyces,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,sodiomyces
Scedosporium,Pathotroph-Saprotroph,Animal Parasite-|Undefined Saprotroph|,Probable,Other saprotroph,scedosporium
Lomentospora,Saprotroph,|Undefined Saprotroph|,Probable,Other saprotroph,lomentospora
Thielaviopsis,Pathotroph-Saprotroph,|Plant Pathogen|-Wood Saprotroph,Probable,Pathogen,thielaviopsis
Xylaria,Saprotroph-Symbiotroph,Endophyte-Plant Saprotroph-Undefined Saprotroph-|Wood Saprotroph|,Probable,Endophyte,xylaria
Nemania,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,nemania
Biscogniauxia,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Plant Pathogen-Undefined Saprotroph-|Wood Saprotroph|,Probable,Pathogen,biscogniauxia
Durotheca,Saprotroph,Undefined Saprotroph-|Wood Saprotroph|,Probable,Other saprotroph,durotheca
