sampleID,db_name,seq_depth,reads_classified,pct_classified,taxonomic_rank,taxon_group
ABBY_001-M-20170607-COMP,soil_microbe_db,5925064,783456,13.222743248005422,phylum,all_domain
ABBY_002-O-20170605-COMP,soil_microbe_db,8083422,1017366,12.585833079109317,phylum,all_domain
ABBY_003-M-20170607-COMP,soil_microbe_db,6092323,866415,14.221422600213415,phylum,all_domain
ABBY_003-O-20170607-COMP,soil_microbe_db,3344642,457350,13.674109217070168,phylum,all_domain
ABBY_004-M-20170605-COMP,soil_microbe_db,11186075,1654634,14.791908690045435,phylum,all_domain
ABBY_006-M-20170605-COMP,soil_microbe_db,11600125,1685767,14.532317539681685,phylum,all_domain
ABBY_006-O-20170605-COMP,soil_microbe_db,4502157,640465,14.225736685770842,phylum,all_domain
ABBY_023-M-20170607-COMP,soil_microbe_db,5693102,798395,14.023901205353425,phylum,all_domain
ABBY_061-M-20170606-COMP,soil_microbe_db,15071602,2080051,13.801127444846276,phylum,all_domain
ABBY_062-M-20170606-COMP,soil_microbe_db,10773595,1480834,13.74503125465548,phylum,all_domain
ABBY_063-M-20170606-COMP,soil_microbe_db,12044005,1733189,14.390470611727576,phylum,all_domain
ABBY_070-M-20170606-COMP,soil_microbe_db,2146200,314461,14.651989562948467,phylum,all_domain
BARR_002-O-20170808-COMP,soil_microbe_db,15550027,2530203,16.271373676714514,phylum,all_domain
BARR_003-O-20170807-COMP,soil_microbe_db,1702091,291094,17.102140837358284,phylum,all_domain
BARR_004-O-20170809-COMP,soil_microbe_db,10266612,1473463,14.351988757342735,phylum,all_domain
BARR_005-O-20170809-COMP,soil_microbe_db,3930601,709166,18.042177265003495,phylum,all_domain
BARR_006-O-20170807-COMP,soil_microbe_db,3080429,605200,19.646614156664544,phylum,all_domain
BARR_051-O-20170808-COMP,soil_microbe_db,9465134,1529659,16.160986204738357,phylum,all_domain
BARR_052-O-20170808-COMP,soil_microbe_db,1639979,356340,21.72832700906536,phylum,all_domain
BARR_053-O-20170808-COMP,soil_microbe_db,4270770,679158,15.902471919583588,phylum,all_domain
BARR_054-O-20170807-COMP,soil_microbe_db,2464478,404601,16.417310278282056,phylum,all_domain
BART_001-O-20170612-COMP,soil_microbe_db,18614217,2633573,14.148180393513195,phylum,all_domain
BART_002-O-20160727-COMP,soil_microbe_db,15486066,1742176,11.249958511089906,phylum,all_domain
BART_002-O-20170612-COMP,soil_microbe_db,11629625,1345158,11.56664982748799,phylum,all_domain
BART_003-O-20170614-COMP,soil_microbe_db,3333693,403115,12.092145257526713,phylum,all_domain
BART_004-O-20170614-COMP,soil_microbe_db,3252794,497294,15.28821068902611,phylum,all_domain
BART_023-O-20160726-COMP,soil_microbe_db,33877449,3930497,11.602104396939687,phylum,all_domain
BART_023-O-20170614-COMP,soil_microbe_db,5767606,770634,13.36141893187572,phylum,all_domain
BART_024-O-20170614-COMP,soil_microbe_db,14412607,2042011,14.168227857735937,phylum,all_domain
