"","sample_id","sampleID","seq_depth","db_name","metric","value","pretty_metric","siteID"
"1","ABBY_001-M-20170607-COMP_pluspf_filtered","ABBY_001-M-20170607-COMP",5925064,"pluspf","percent_passing",0.113668645604503,"% reads classified at
 high quality","ABBY"
"2","ABBY_001-M-20170607-COMP_pluspf_filtered","ABBY_001-M-20170607-COMP",5925064,"pluspf","percent_classified",0.0561222629831509,"% reads classified","ABBY"
"3","ABBY_001-M-20170607-COMP_soil_microbe_db_filtered","ABBY_001-M-20170607-COMP",5925064,"soil_microbe_db","percent_passing",0.155978399558216,"% reads classified at
 high quality","ABBY"
"4","ABBY_001-M-20170607-COMP_soil_microbe_db_filtered","ABBY_001-M-20170607-COMP",5925064,"soil_microbe_db","percent_classified",0.0616681946389102,"% reads classified","ABBY"
"5","ABBY_002-O-20170605-COMP_pluspf_filtered","ABBY_002-O-20170605-COMP",8083422,"pluspf","percent_passing",0.113752071832944,"% reads classified at
 high quality","ABBY"
"6","ABBY_002-O-20170605-COMP_pluspf_filtered","ABBY_002-O-20170605-COMP",8083422,"pluspf","percent_classified",0.05437907361511,"% reads classified","ABBY"
"7","ABBY_002-O-20170605-COMP_soil_microbe_db_filtered","ABBY_002-O-20170605-COMP",8083422,"soil_microbe_db","percent_passing",0.157213986848639,"% reads classified at
 high quality","ABBY"
"8","ABBY_002-O-20170605-COMP_soil_microbe_db_filtered","ABBY_002-O-20170605-COMP",8083422,"soil_microbe_db","percent_classified",0.0625953958608124,"% reads classified","ABBY"
"9","ABBY_003-M-20170607-COMP_pluspf_filtered","ABBY_003-M-20170607-COMP",6092323,"pluspf","percent_passing",0.107378417066856,"% reads classified at
 high quality","ABBY"
"10","ABBY_003-M-20170607-COMP_pluspf_filtered","ABBY_003-M-20170607-COMP",6092323,"pluspf","percent_classified",0.0555610725170021,"% reads classified","ABBY"
"11","ABBY_003-M-20170607-COMP_soil_microbe_db_filtered","ABBY_003-M-20170607-COMP",6092323,"soil_microbe_db","percent_passing",0.162221865124354,"% reads classified at
 high quality","ABBY"
"12","ABBY_003-M-20170607-COMP_soil_microbe_db_filtered","ABBY_003-M-20170607-COMP",6092323,"soil_microbe_db","percent_classified",0.0713107299136963,"% reads classified","ABBY"
"13","ABBY_003-O-20170607-COMP_pluspf_filtered","ABBY_003-O-20170607-COMP",3344642,"pluspf","percent_passing",0.0983594058796128,"% reads classified at
 high quality","ABBY"
"14","ABBY_003-O-20170607-COMP_pluspf_filtered","ABBY_003-O-20170607-COMP",3344642,"pluspf","percent_classified",0.0492800126291543,"% reads classified","ABBY"
"15","ABBY_003-O-20170607-COMP_soil_microbe_db_filtered","ABBY_003-O-20170607-COMP",3344642,"soil_microbe_db","percent_passing",0.149358885046591,"% reads classified at
 high quality","ABBY"
"16","ABBY_003-O-20170607-COMP_soil_microbe_db_filtered","ABBY_003-O-20170607-COMP",3344642,"soil_microbe_db","percent_classified",0.061678051044028,"% reads classified","ABBY"
"17","ABBY_004-M-20170605-COMP_pluspf_filtered","ABBY_004-M-20170605-COMP",11186075,"pluspf","percent_passing",0.117325692881551,"% reads classified at
 high quality","ABBY"
"18","ABBY_004-M-20170605-COMP_pluspf_filtered","ABBY_004-M-20170605-COMP",11186075,"pluspf","percent_classified",0.0625740485380261,"% reads classified","ABBY"
"19","ABBY_004-M-20170605-COMP_soil_microbe_db_filtered","ABBY_004-M-20170605-COMP",11186075,"soil_microbe_db","percent_passing",0.173885299356566,"% reads classified at
 high quality","ABBY"
"20","ABBY_004-M-20170605-COMP_soil_microbe_db_filtered","ABBY_004-M-20170605-COMP",11186075,"soil_microbe_db","percent_classified",0.0780347887887396,"% reads classified","ABBY"
"21","ABBY_006-M-20170605-COMP_pluspf_filtered","ABBY_006-M-20170605-COMP",11600125,"pluspf","percent_passing",0.110773547698839,"% reads classified at
 high quality","ABBY"
"22","ABBY_006-M-20170605-COMP_pluspf_filtered","ABBY_006-M-20170605-COMP",11600125,"pluspf","percent_classified",0.0588473831100958,"% reads classified","ABBY"
"23","ABBY_006-M-20170605-COMP_soil_microbe_db_filtered","ABBY_006-M-20170605-COMP",11600125,"soil_microbe_db","percent_passing",0.170836262540274,"% reads classified at
 high quality","ABBY"
"24","ABBY_006-M-20170605-COMP_soil_microbe_db_filtered","ABBY_006-M-20170605-COMP",11600125,"soil_microbe_db","percent_classified",0.0788407021476062,"% reads classified","ABBY"
"25","ABBY_006-O-20170605-COMP_pluspf_filtered","ABBY_006-O-20170605-COMP",4502157,"pluspf","percent_passing",0.104843744898279,"% reads classified at
 high quality","ABBY"
"26","ABBY_006-O-20170605-COMP_pluspf_filtered","ABBY_006-O-20170605-COMP",4502157,"pluspf","percent_classified",0.053425502486919,"% reads classified","ABBY"
"27","ABBY_006-O-20170605-COMP_soil_microbe_db_filtered","ABBY_006-O-20170605-COMP",4502157,"soil_microbe_db","percent_passing",0.161206728241596,"% reads classified at
 high quality","ABBY"
"28","ABBY_006-O-20170605-COMP_soil_microbe_db_filtered","ABBY_006-O-20170605-COMP",4502157,"soil_microbe_db","percent_classified",0.0706785658518794,"% reads classified","ABBY"
"29","ABBY_023-M-20170607-COMP_pluspf_filtered","ABBY_023-M-20170607-COMP",5693102,"pluspf","percent_passing",0.112492451391175,"% reads classified at
 high quality","ABBY"
"30","ABBY_023-M-20170607-COMP_pluspf_filtered","ABBY_023-M-20170607-COMP",5693102,"pluspf","percent_classified",0.0565944541306304,"% reads classified","ABBY"
"31","ABBY_023-M-20170607-COMP_soil_microbe_db_filtered","ABBY_023-M-20170607-COMP",5693102,"soil_microbe_db","percent_passing",0.164652943158229,"% reads classified at
 high quality","ABBY"
"32","ABBY_023-M-20170607-COMP_soil_microbe_db_filtered","ABBY_023-M-20170607-COMP",5693102,"soil_microbe_db","percent_classified",0.0685886182963172,"% reads classified","ABBY"
"33","ABBY_061-M-20170606-COMP_pluspf_filtered","ABBY_061-M-20170606-COMP",15071602,"pluspf","percent_passing",0.107590752462811,"% reads classified at
 high quality","ABBY"
"34","ABBY_061-M-20170606-COMP_pluspf_filtered","ABBY_061-M-20170606-COMP",15071602,"pluspf","percent_classified",0.0555639009044958,"% reads classified","ABBY"
"35","ABBY_061-M-20170606-COMP_soil_microbe_db_filtered","ABBY_061-M-20170606-COMP",15071602,"soil_microbe_db","percent_passing",0.165062347055077,"% reads classified at
 high quality","ABBY"
"36","ABBY_061-M-20170606-COMP_soil_microbe_db_filtered","ABBY_061-M-20170606-COMP",15071602,"soil_microbe_db","percent_classified",0.0727722905634053,"% reads classified","ABBY"
"37","ABBY_062-M-20170606-COMP_pluspf_filtered","ABBY_062-M-20170606-COMP",10773595,"pluspf","percent_passing",0.104269744685966,"% reads classified at
 high quality","ABBY"
"38","ABBY_062-M-20170606-COMP_pluspf_filtered","ABBY_062-M-20170606-COMP",10773595,"pluspf","percent_classified",0.0559513328652135,"% reads classified","ABBY"
