"compositeSampleID","siteID","sampleID","plotID","biomassID","geneticSampleID","biome","nlcdClass","horizon","sampleBottomDepth","sampleTopDepth","litterDepth","standingWaterDepth","soilTemp","sampleTiming","domainID","decimalLatitude","decimalLongitude","proportion_fungi","proportion_bacteria","gram_positive","gram_negative","total_fungi","total_bacteria","proportion_sap_ecto_fungi","proportion_arbuscular_fungi","bacteria_fungi_total","total_biomass","db_name","Bacteria","Eukaryota","Archaea","fungi_domain_metagenome","sample_id","genus_amf_metagenome","genus_fungi_metagenome","genus_fungi_minus_amf_metagenome","phyla_fungi_metagenome","seq_depth"
NA,"BART","BART_036-M-21-20220425","BART_036","BART_036-M-21-20220425-BM",NA,"Forest","deciduousForest","M",8.5,4.8,4,0,5.4,"winterSpringTransition","D01",44.062082,-71.285878,0.470490179897673,0.529509820102327,139.14,181.69,285.07,320.83,0.157979864664136,0.0358474995873907,605.9,737.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_036-O-21-20220425","BART_036","BART_036-O-21-20220425-BM","BART_036-O-21-20220425-GEN","Forest","deciduousForest","O",4.8,0,4,0,5.4,"winterSpringTransition","D01",44.062082,-71.285878,0.605457678893762,0.394542321106238,260.45,222.6,741.28,483.05,0.15188715460701,0.0398585348721341,1224.33,1501.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_071-M-21-20220425","BART_071","BART_071-M-21-20220425-BM",NA,"Forest","mixedForest","M",17,2.6,3.7,0,5.1,"winterSpringTransition","D01",44.067944,-71.290624,0.442887175893483,0.557112824106517,50.88,60.42,88.48,111.3,0.128941836019622,0.0478025828411252,199.78,258.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_071-O-21-20220425","BART_071","BART_071-O-21-20220425-BM","BART_071-O-21-20220425-GEN","Forest","mixedForest","O",2.6,0,3.7,0,5.1,"winterSpringTransition","D01",44.067944,-71.290624,0.578070030988488,0.421929969011512,249.88,313.81,772.29,563.69,0.143175796044851,0.050247758199973,1335.98,1688.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_071-M-23-20220425","BART_071","BART_071-M-23-20220425-BM",NA,"Forest","mixedForest","M",18.5,2.7,3.3,0,8.2,"winterSpringTransition","D01",44.067944,-71.290624,0.407876198175309,0.592123801824691,138.62,117.74,176.59,256.36,0.121422797089733,0.0269084189860261,432.95,529.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_071-O-23-20220425","BART_071","BART_071-O-23-20220425-BM","BART_071-O-23-20220425-GEN","Forest","mixedForest","O",2.7,0,3.3,0,8.2,"winterSpringTransition","D01",44.067944,-71.290624,0.629306596751031,0.370693403248969,250.96,311.76,955.3,562.72,0.144260286425739,0.04285187283435,1518.02,1931.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_036-O-23-20220425","BART_036","BART_036-O-23-20220425-BM","BART_036-O-23-20220425-GEN","Forest","deciduousForest","O",3,0,3.1,0,4.7,"winterSpringTransition","D01",44.062082,-71.285878,0.602549445079602,0.397450554920398,237.93,273.1,774.74,511.03,0.158364248660336,0.0361573220715991,1285.77,1641.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_036-M-23-20220425","BART_036","BART_036-M-23-20220425-BM",NA,"Forest","deciduousForest","M",22,3,3.1,0,4.7,"winterSpringTransition","D01",44.062082,-71.285878,0.341304347826087,0.658695652173913,29.15,37.51,34.54,66.66,0.108596837944664,0.0442687747035573,101.2,150.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_036-M-41-20220425","BART_036","BART_036-M-41-20220425-BM",NA,"Forest","deciduousForest","M",30,2.7,4.4,0,5.4,"winterSpringTransition","D01",44.062082,-71.285878,0.370147621651175,0.629852378348824,26.55,31.05,33.85,57.6,0.113613996719519,0.0504100601421542,91.45,127.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"BART","BART_036-O-41-20220425","BART_036","BART_036-O-41-20220425-BM","BART_036-O-41-20220425-GEN","Forest","deciduousForest","O",2.7,0,4.4,0,5.4,"winterSpringTransition","D01",44.062082,-71.285878,0.576100738051704,0.423899261948296,305.37,329.86,863.31,635.23,0.163946241007914,0.0352609873610314,1498.54,1832.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
