sampleID,db_name,samp_name,taxonomic_rank,filter_status,taxon_group,reads_classified,seq_depth,pct_classified
ABBY_001-M-20170607-COMP,soil_microbe_db,ABBY_001-M-20170607-COMP_soil_microbe_db,phylum,before,all_domain,2793093,5925064,47.140300931770525
ABBY_001-M-20170607-COMP,soil_microbe_db,ABBY_001-M-20170607-COMP_soil_microbe_db,phylum,before,fungi,51803,5925064,0.874302792341146
ABBY_001-M-20170607-COMP,soil_microbe_db,ABBY_001-M-20170607-COMP_soil_microbe_db,class,before,all_domain,2671433,5925064,45.08698977766316
ABBY_001-M-20170607-COMP,soil_microbe_db,ABBY_001-M-20170607-COMP_soil_microbe_db,order,before,all_domain,2468076,5925064,41.65484119665205
ABBY_001-M-20170607-COMP,soil_microbe_db,ABBY_001-M-20170607-COMP_soil_microbe_db,family,before,all_domain,2261655,5925064,38.17098009405468
ABBY_001-M-20170607-COMP,soil_microbe_db,ABBY_001-M-20170607-COMP_soil_microbe_db,genus,before,all_domain,1879418,5925064,31.71979239380368
ABBY_001-M-20170607-COMP,soil_microbe_db,ABBY_001-M-20170607-COMP_soil_microbe_db,species,before,all_domain,1676391,5925064,28.293213372885084
ABBY_001-M-20170607-COMP,soil_microbe_db,ABBY_001-M-20170607-COMP_soil_microbe_db,strain,before,all_domain,127177,5925064,2.1464240723813277
ABBY_002-O-20170605-COMP,soil_microbe_db,ABBY_002-O-20170605-COMP_soil_microbe_db,phylum,before,all_domain,3864067,8083422,47.80236637404307
ABBY_002-O-20170605-COMP,soil_microbe_db,ABBY_002-O-20170605-COMP_soil_microbe_db,phylum,before,fungi,101046,8083422,1.2500398964695891
ABBY_002-O-20170605-COMP,soil_microbe_db,ABBY_002-O-20170605-COMP_soil_microbe_db,class,before,all_domain,3663593,8083422,45.322302856389285
ABBY_002-O-20170605-COMP,soil_microbe_db,ABBY_002-O-20170605-COMP_soil_microbe_db,order,before,all_domain,3411947,8083422,42.20919061258957
ABBY_002-O-20170605-COMP,soil_microbe_db,ABBY_002-O-20170605-COMP_soil_microbe_db,family,before,all_domain,3123780,8083422,38.644277139063135
ABBY_002-O-20170605-COMP,soil_microbe_db,ABBY_002-O-20170605-COMP_soil_microbe_db,genus,before,all_domain,2560729,8083422,31.67877416272465
ABBY_002-O-20170605-COMP,soil_microbe_db,ABBY_002-O-20170605-COMP_soil_microbe_db,species,before,all_domain,2339821,8083422,28.945921665354103
ABBY_002-O-20170605-COMP,soil_microbe_db,ABBY_002-O-20170605-COMP_soil_microbe_db,strain,before,all_domain,185730,8083422,2.2976655183906023
ABBY_003-M-20170607-COMP,soil_microbe_db,ABBY_003-M-20170607-COMP_soil_microbe_db,phylum,before,all_domain,2561630,6092323,42.04685142268392
ABBY_003-M-20170607-COMP,soil_microbe_db,ABBY_003-M-20170607-COMP_soil_microbe_db,phylum,before,fungi,83063,6092323,1.3634044025571197
ABBY_003-M-20170607-COMP,soil_microbe_db,ABBY_003-M-20170607-COMP_soil_microbe_db,class,before,all_domain,2444080,6092323,40.11737394750738
ABBY_003-M-20170607-COMP,soil_microbe_db,ABBY_003-M-20170607-COMP_soil_microbe_db,order,before,all_domain,2240535,6092323,36.77636592807046
ABBY_003-M-20170607-COMP,soil_microbe_db,ABBY_003-M-20170607-COMP_soil_microbe_db,family,before,all_domain,2048055,6092323,33.61697992703276
ABBY_003-M-20170607-COMP,soil_microbe_db,ABBY_003-M-20170607-COMP_soil_microbe_db,genus,before,all_domain,1701116,6092323,27.922288427583368
ABBY_003-M-20170607-COMP,soil_microbe_db,ABBY_003-M-20170607-COMP_soil_microbe_db,species,before,all_domain,1539525,6092323,25.26991756674753
ABBY_003-M-20170607-COMP,soil_microbe_db,ABBY_003-M-20170607-COMP_soil_microbe_db,strain,before,all_domain,132608,6092323,2.1766409955611348
ABBY_003-O-20170607-COMP,soil_microbe_db,ABBY_003-O-20170607-COMP_soil_microbe_db,phylum,before,all_domain,1351241,3344642,40.40016838872441
ABBY_003-O-20170607-COMP,soil_microbe_db,ABBY_003-O-20170607-COMP_soil_microbe_db,phylum,before,fungi,77187,3344642,2.3077806234568605
ABBY_003-O-20170607-COMP,soil_microbe_db,ABBY_003-O-20170607-COMP_soil_microbe_db,class,before,all_domain,1286709,3344642,38.47075411957393
ABBY_003-O-20170607-COMP,soil_microbe_db,ABBY_003-O-20170607-COMP_soil_microbe_db,order,before,all_domain,1188358,3344642,35.53020024265676
ABBY_003-O-20170607-COMP,soil_microbe_db,ABBY_003-O-20170607-COMP_soil_microbe_db,family,before,all_domain,1090789,3344642,32.613027044449
ABBY_003-O-20170607-COMP,soil_microbe_db,ABBY_003-O-20170607-COMP_soil_microbe_db,genus,before,all_domain,855605,3344642,25.581362669009124
ABBY_003-O-20170607-COMP,soil_microbe_db,ABBY_003-O-20170607-COMP_soil_microbe_db,species,before,all_domain,808768,3344642,24.181003527432832
ABBY_003-O-20170607-COMP,soil_microbe_db,ABBY_003-O-20170607-COMP_soil_microbe_db,strain,before,all_domain,67211,3344642,2.009512527798192
ABBY_004-M-20170605-COMP,soil_microbe_db,ABBY_004-M-20170605-COMP_soil_microbe_db,phylum,before,all_domain,4762693,11186075,42.576980755090595
ABBY_004-M-20170605-COMP,soil_microbe_db,ABBY_004-M-20170605-COMP_soil_microbe_db,phylum,before,fungi,159707,11186075,1.4277304595222184
ABBY_004-M-20170605-COMP,soil_microbe_db,ABBY_004-M-20170605-COMP_soil_microbe_db,class,before,all_domain,4527445,11186075,40.47393746242538
ABBY_004-M-20170605-COMP,soil_microbe_db,ABBY_004-M-20170605-COMP_soil_microbe_db,order,before,all_domain,4168599,11186075,37.26596683823414
ABBY_004-M-20170605-COMP,soil_microbe_db,ABBY_004-M-20170605-COMP_soil_microbe_db,family,before,all_domain,3809643,11186075,34.05701284856395
