geneticSampleID,dnaSampleID,dataQF.x,meanCopyNumber_fungi,copyNumberStandardDeviation_fungi,dataQF.y,meanCopyNumber_bacteria and archaea,copyNumberStandardDeviation_bacteria and archaea,legacy,fb_ratio,f_proportion,siteID,test_fun,test_bac,batchID,nucleicAcidConcentration_bac_arc,nucleicAcidConcentration_fun,nucleicAcidConcentration_bac,nucleicAcidConcentration_arc,meanCqValue_bac_arc,meanCqValue_fun,meanCqValue_bac,meanCqValue_arc,pcrEfficiency_bac_arc,pcrEfficiency_fun,pcrEfficiency_bac,pcrEfficiency_arc,sampleID,compositeSampleID
ABBY_001-M-0.5-25-20171020-GEN,ABBY_001-M-0.5-25-20171020-GEN-DNA1,NA,21.9,1.5,NA,69757.7,13394.1,FALSE,3.1394383702444315e-4,3.1384530722446103e-4,ABBY,21.9,69757.7,CF90WLTZ,45,NA,NA,NA,19.8,NA,NA,NA,NA,NA,NA,NA,ABBY_001-M-0.5-25-20171020,NA
ABBY_001-M-0.5-25-20171020-GEN,ABBY_001-M-0.5-25-20171020-GEN-DNA1,NA,21.9,1.5,NA,69757.7,13394.1,FALSE,3.1394383702444315e-4,3.1384530722446103e-4,ABBY,21.9,69757.7,CF90WLP4,NA,45,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,ABBY_001-M-0.5-25-20171020,NA
ABBY_001-M-1.5-9-20170607-GEN,ABBY_001-M-1.5-9-20170607-GEN-DNA1,NA,60.5,3.7,NA,40782.4,5455.5,FALSE,0.0014834830711287221,0.0014812856090042578,ABBY,60.5,40782.4,CF90WLTZ,50,NA,NA,NA,20.6,NA,NA,NA,NA,NA,NA,NA,ABBY_001-M-1.5-9-20170607,ABBY_001-M-20170607-COMP
ABBY_001-M-1.5-9-20170607-GEN,ABBY_001-M-1.5-9-20170607-GEN-DNA1,NA,60.5,3.7,NA,40782.4,5455.5,FALSE,0.0014834830711287221,0.0014812856090042578,ABBY,60.5,40782.4,CF90WLP4,NA,50,NA,NA,NA,16.1,NA,NA,NA,NA,NA,NA,ABBY_001-M-1.5-9-20170607,ABBY_001-M-20170607-COMP
ABBY_001-M-12.5-34.5-20170510-GEN,ABBY_001-M-12.5-34.5-20170510-GEN-DNA1,NA,35.2,1.6,NA,117648.3,7927.4,FALSE,2.9919684347330135e-4,2.9910735149787357e-4,ABBY,35.2,117648.3,CF90WLTV,NA,14,NA,NA,NA,20.3,NA,NA,NA,NA,NA,NA,ABBY_001-M-12.5-34.5-20170510,NA
ABBY_001-M-12.5-34.5-20170510-GEN,ABBY_001-M-12.5-34.5-20170510-GEN-DNA1,NA,35.2,1.6,NA,117648.3,7927.4,FALSE,2.9919684347330135e-4,2.9910735149787357e-4,ABBY,35.2,117648.3,CF90WLTT,14,NA,NA,NA,21.5,NA,NA,NA,NA,NA,NA,NA,ABBY_001-M-12.5-34.5-20170510,NA
ABBY_001-M-20-37.5-20161005-GEN,ABBY_001-M-20-37.5-20161005-GEN-DNA1,NA,31.6,2.7,NA,107925.7,5611.9,FALSE,2.927940240369069e-4,2.9270832078979374e-4,ABBY,31.6,107925.7,CF90WLTT,16,NA,NA,NA,21.4,NA,NA,NA,NA,NA,NA,NA,ABBY_001-M-20-37.5-20161005,NA
ABBY_001-M-20-37.5-20161005-GEN,ABBY_001-M-20-37.5-20161005-GEN-DNA1,NA,31.6,2.7,NA,107925.7,5611.9,FALSE,2.927940240369069e-4,2.9270832078979374e-4,ABBY,31.6,107925.7,CF90WLTV,NA,16,NA,NA,NA,20.3,NA,NA,NA,NA,NA,NA,ABBY_001-M-20-37.5-20161005,NA
ABBY_001-M-20.5-33-20170607-GEN,ABBY_001-M-20.5-33-20170607-GEN-DNA1,NA,34.4,3.5,NA,119518.1,9781.5,FALSE,2.878225139121187e-4,2.8773969594947824e-4,ABBY,34.4,119518.1,CF90WLP3,26,NA,NA,NA,20.6,NA,NA,NA,NA,NA,NA,NA,ABBY_001-M-20.5-33-20170607,ABBY_001-M-20170607-COMP
ABBY_001-M-20.5-33-20170607-GEN,ABBY_001-M-20.5-33-20170607-GEN-DNA1,NA,34.4,3.5,NA,119518.1,9781.5,FALSE,2.878225139121187e-4,2.8773969594947824e-4,ABBY,34.4,119518.1,CF90WLTU,NA,26,NA,NA,NA,17.8,NA,NA,NA,NA,NA,NA,ABBY_001-M-20.5-33-20170607,ABBY_001-M-20170607-COMP
