"genomicsSampleID","d15N","organicd13C","nitrogenPercent","organicCPercent","soilTemp","soilMoisture","soilInWaterpH","soilInCaClpH","latitude","longitude","elevation","sampleTiming","nlcdClass"
"ABBY_001-M-20170607-COMP",NA,NA,NA,NA,11.8666666666667,0.366333333333333,5.54666666666667,4.64666666666667,45.772619,-122.346369,302.6,"peakGreenness","evergreenForest"
"ABBY_001-M-20220613-COMP",3.3,-25.5666666666667,0.253333333333333,5.28,10.8666666666667,0.618666666666667,5.31,4.53333333333333,45.772619,-122.346369,302.6,"peakGreenness","evergreenForest"
"ABBY_002-M-20220615-COMP",NA,NA,NA,NA,10.62,0.655,4.866,4.262,45.739055,-122.309112,638.4,"peakGreenness","grasslandHerbaceous"
"ABBY_002-O-20170605-COMP",NA,NA,NA,NA,10.5,1.32266666666667,4.79333333333333,3.87666666666667,45.739055,-122.309112,638.4,"peakGreenness","grasslandHerbaceous"
"ABBY_002-O-20220615-COMP",NA,NA,NA,NA,10.1666666666667,2.81066666666667,4.44333333333333,3.56666666666667,45.739055,-122.309112,638.4,"peakGreenness","grasslandHerbaceous"
"ABBY_003-M-20170607-COMP",NA,NA,NA,NA,11.85,0.6545,5.46,4.38,45.762016,-122.371092,602.4,"peakGreenness","evergreenForest"
"ABBY_003-M-20220614-COMP",NA,NA,NA,NA,9.2,0.691,5.12,4.44,45.762016,-122.371092,602.4,"peakGreenness","evergreenForest"
"ABBY_003-O-20170607-COMP",NA,NA,NA,NA,12.3,1.941,4.42,3.4,45.762016,-122.371092,602.4,"peakGreenness","evergreenForest"
"ABBY_004-M-20170605-COMP",NA,NA,NA,NA,11,0.401,5.54,4.57666666666667,45.76858,-122.298736,586.1,"peakGreenness","shrubScrub"
"ABBY_004-M-20220615-COMP",NA,NA,NA,NA,11.4333333333333,0.484,5.47333333333333,4.67,45.76858,-122.298736,586.1,"peakGreenness","shrubScrub"
"ABBY_004-O-20220615-COMP",NA,NA,NA,NA,10.5666666666667,0.669333333333333,5.23333333333333,4.29666666666667,45.76858,-122.298736,586.1,"peakGreenness","shrubScrub"
"ABBY_006-M-20170605-COMP",NA,NA,NA,NA,9.7,0.461,5.59,4.72,45.754053,-122.298512,534.2,"peakGreenness","evergreenForest"
"ABBY_006-M-20220615-COMP",NA,NA,NA,NA,9.45,0.591,5.355,4.635,45.754053,-122.298512,534.2,"peakGreenness","evergreenForest"
"ABBY_006-O-20170605-COMP",NA,NA,NA,NA,9.8,2.753,4.72,3.56,45.754053,-122.298512,534.2,"peakGreenness","evergreenForest"
"ABBY_006-O-20220615-COMP",-1.9,-26.1,0.54,50.22,9.6,3.09,4.32,3.36,45.754053,-122.298512,534.2,"peakGreenness","evergreenForest"
"ABBY_023-M-20170607-COMP",NA,NA,NA,NA,11.3333333333333,0.527,5.24333333333333,4.39,45.744589,-122.381659,507.5,"peakGreenness","mixedForest"
"ABBY_023-M-20220614-COMP",1.9,-26.05,0.63,16.135,9.75,1.0545,5.155,4.515,45.744589,-122.381659,507.5,"peakGreenness","mixedForest"
"ABBY_023-O-20220614-COMP",-2.7,-25.6,0.36,49.61,9.3,3.048,3.9,2.99,45.744589,-122.381659,507.5,"peakGreenness","mixedForest"
"ABBY_061-M-20170606-COMP",NA,NA,NA,NA,12.3666666666667,0.393333333333333,5.47666666666667,4.46666666666667,45.762451,-122.331158,362.8,"peakGreenness","evergreenForest"
"ABBY_061-M-20220613-COMP",4.56666666666667,-26.0333333333333,0.26,5.47,11.0666666666667,0.504,5.07333333333333,4.37,45.762451,-122.331158,362.8,"peakGreenness","evergreenForest"
"ABBY_062-M-20170606-COMP",NA,NA,NA,NA,11.6,0.454,5.42,4.45,45.763476,-122.328069,342.2,"peakGreenness","evergreenForest"
"ABBY_062-M-20220613-COMP",2.6,-26.3333333333333,0.483333333333333,11.52,10.9666666666667,0.72,4.85333333333333,4.20666666666667,45.763476,-122.328069,342.2,"peakGreenness","evergreenForest"
"ABBY_063-M-20170606-COMP",NA,NA,NA,NA,13.6666666666667,0.422333333333333,5.45,4.46333333333333,45.760513,-122.330039,362.2,"peakGreenness","evergreenForest"
"ABBY_063-M-20220613-COMP",NA,NA,NA,NA,12.3,0.634,5.085,4.475,45.760513,-122.330039,362.2,"peakGreenness","evergreenForest"
"ABBY_063-O-20220613-COMP",NA,NA,NA,NA,11.9,2.939,3.64,2.92,45.760513,-122.330039,362.2,"peakGreenness","evergreenForest"
"ABBY_070-M-20170606-COMP",NA,NA,NA,NA,12.5,0.419666666666667,5.47333333333333,4.52,45.761334,-122.330793,363.1,"peakGreenness","evergreenForest"
"ABBY_070-M-20220615-COMP",3.6,-26.0666666666667,0.463333333333333,9.4,10.2333333333333,0.759333333333333,5.08666666666667,4.38,45.761334,-122.330793,363.1,"peakGreenness","evergreenForest"
"ABBY_070-O-20220615-COMP",-1.2,-26.9,1.09,31.84,11.5,1.852,4.56,3.74,45.761334,-122.330793,363.1,"peakGreenness","evergreenForest"
"BARR_001-M-20220828-COMP",1.575,-27.425,0.5875,11.9375,NA,1.67325,5.365,4.315,71.244105,-156.421392,5.7,"peakGreenness","sedgeHerbaceous"
"BARR_001-O-20170809-COMP",NA,NA,NA,NA,NA,2.481,5.41333333333333,4.38,71.244105,-156.421392,5.7,"peakGreenness","sedgeHerbaceous"
"BARR_001-O-20220828-COMP",0.4,-27.3,1.3475,42.54,NA,6.52025,5.785,5.2575,71.244105,-156.421392,5.7,"peakGreenness","sedgeHerbaceous"
"BARR_002-M-20220824-COMP",2.4,-27.7,0.483333333333333,9.19,NA,0.720666666666667,5.52333333333333,4.49333333333333,71.273924,-156.599236,5.2,"peakGreenness","sedgeHerbaceous"
"BARR_002-O-20170808-COMP",NA,NA,NA,NA,NA,2.356,5.04,4.345,71.273924,-156.599236,5.2,"peakGreenness","sedgeHerbaceous"
"BARR_002-O-20220824-COMP",2,-28.05,0.93,26.555,NA,2.363,6.335,5.71,71.273924,-156.599236,5.2,"peakGreenness","sedgeHerbaceous"
"BARR_003-M-20220826-COMP",2.4,-28.2,0.68,11.41,NA,1.21,5.93,4.96,71.258668,-156.648849,6.5,"peakGreenness","emergentHerbaceousWetlands"
"BARR_003-O-20170807-COMP",NA,NA,NA,NA,NA,8.43366666666667,6.15333333333333,5.74666666666667,71.258668,-156.648849,6.5,"peakGreenness","emergentHerbaceousWetlands"
"BARR_003-O-20220826-COMP",1.6,-29,0.796666666666667,33.0733333333333,NA,4.26066666666667,6.65333333333333,6.20333333333333,71.258668,-156.648849,6.5,"peakGreenness","emergentHerbaceousWetlands"
"BARR_004-M-20220826-COMP",3.46666666666667,-27.2666666666667,0.756666666666667,12.69,2.1,0.921666666666667,5.93666666666667,5.26333333333333,71.241422,-156.502856,6.3,"peakGreenness","sedgeHerbaceous"
"BARR_004-O-20170809-COMP",NA,NA,NA,NA,4.66666666666667,2.54,5.19,4.53333333333333,71.241422,-156.502856,6.3,"peakGreenness","sedgeHerbaceous"
"BARR_004-O-20220826-COMP",2.6,-27.4,0.86,43.38,2,3.755,6.26,5.04,71.241422,-156.502856,6.3,"peakGreenness","sedgeHerbaceous"
"BARR_005-O-20170809-COMP",NA,NA,NA,NA,4.83333333333333,3.264,5.35333333333333,4.75666666666667,71.242584,-156.311981,4,"peakGreenness","sedgeHerbaceous"
"BARR_006-M-20220826-COMP",2.1,-26.5,0.64,12.49,2.1,1.053,6.31,5.29,71.258067,-156.602012,7.9,"peakGreenness","sedgeHerbaceous"
"BARR_006-O-20170807-COMP",NA,NA,NA,NA,NA,2.77,5.23666666666667,4.43,71.258067,-156.602012,7.9,"peakGreenness","sedgeHerbaceous"
"BARR_006-O-20220826-COMP",1.43333333333333,-27.3333333333333,1.45666666666667,38.9766666666667,NA,NA,5.97,5.11333333333333,71.258067,-156.602012,7.9,"peakGreenness","sedgeHerbaceous"
"BARR_051-M-20220824-COMP",3.5,-27.7,1.335,23.83,1.8,1.7325,5.33,4.475,71.285604,-156.607878,5.3,"peakGreenness","emergentHerbaceousWetlands"
"BARR_051-O-20170808-COMP",NA,NA,NA,NA,NA,2.75933333333333,5.19,4.52,71.285604,-156.607878,5.3,"peakGreenness","emergentHerbaceousWetlands"
"BARR_051-O-20220824-COMP",2.23333333333333,-27.4666666666667,1.45333333333333,41.9633333333333,2.26666666666667,3.23266666666667,5.75,4.56,71.285604,-156.607878,5.3,"peakGreenness","emergentHerbaceousWetlands"
"BARR_052-M-20220824-COMP",0.0666666666666667,-28.5,0.743333333333333,14.47,2.2,1.05433333333333,5.42666666666667,4.73333333333333,71.281336,-156.603652,5.4,"peakGreenness","emergentHerbaceousWetlands"
"BARR_052-O-20170808-COMP",NA,NA,NA,NA,NA,2.081,5.39,4.69,71.281245,-156.603377,5.5,"peakGreenness","emergentHerbaceousWetlands"
"BARR_052-O-20220824-COMP",1.45,-28.05,1.8,38.49,1.9,1.718,6,4.765,71.281336,-156.603652,5.4,"peakGreenness","emergentHerbaceousWetlands"
"BARR_053-M-20220824-COMP",2.85,-28.05,1.3,24.265,2.35,1.9405,5.09,4.225,71.285301,-156.605382,5.5,"peakGreenness","emergentHerbaceousWetlands"
"BARR_053-O-20170808-COMP",NA,NA,NA,NA,3.33333333333333,4.78933333333333,5.33,4.51,71.285301,-156.605382,5.5,"peakGreenness","emergentHerbaceousWetlands"
"BARR_053-O-20220824-COMP",1,-28,1.49,40.48,2.03333333333333,3.531,6.38666666666667,5.20333333333333,71.285301,-156.605382,5.5,"peakGreenness","emergentHerbaceousWetlands"
"BARR_054-M-20220824-COMP",1.6,-27.1,0.3,5.6,1.1,0.442,6.36,5.58,71.280858,-156.636941,6,"peakGreenness","sedgeHerbaceous"
"BARR_054-O-20170807-COMP",NA,NA,NA,NA,3.16666666666667,4.991,4.86666666666667,4.19,71.280858,-156.636941,6,"peakGreenness","sedgeHerbaceous"
"BARR_054-O-20220824-COMP",0.45,-26.625,1.27,40.4375,NA,3.4345,6.04,4.84,71.280858,-156.636941,6,"peakGreenness","sedgeHerbaceous"
"BART_001-M-20220608-COMP",2.15,-27.35,1.275,34.675,11.05,2.4395,4.01,3.365,44.047079,-71.306661,467.7,"peakGreenness","mixedForest"
"BART_001-O-20160725-COMP",NA,NA,NA,NA,13.4,2.623,4.21666666666667,3.21,44.047079,-71.306661,467.7,"peakGreenness","mixedForest"
"BART_001-O-20170612-COMP",NA,NA,NA,NA,11.2333333333333,1.96266666666667,4.59333333333333,3.51333333333333,44.047079,-71.306661,467.7,"peakGreenness","mixedForest"
"BART_001-O-20210609-COMP",NA,NA,NA,NA,15.1666666666667,1.41933333333333,3.67,3.13666666666667,44.047079,-71.306661,467.7,"peakGreenness","mixedForest"
"BART_001-O-20220608-COMP",-0.366666666666667,-28.0333333333333,1.63,49.8166666666667,11.1333333333333,2.55233333333333,4.65,4.02333333333333,44.047079,-71.306661,467.7,"peakGreenness","mixedForest"
"BART_002-M-20220608-COMP",4.96666666666667,-26.8333333333333,0.353333333333333,7.59333333333333,11.9666666666667,0.405333333333333,4.41,3.69333333333333,44.035076,-71.272844,550.6,"peakGreenness","deciduousForest"
"BART_002-O-20160727-COMP",NA,NA,NA,NA,16.7,0.355333333333333,5.32333333333333,3.80666666666667,44.035076,-71.272844,550.6,"peakGreenness","deciduousForest"
"BART_002-O-20170612-COMP",NA,NA,NA,NA,12.9666666666667,1.56733333333333,4.39666666666667,3.31,44.035076,-71.272844,550.6,"peakGreenness","deciduousForest"
"BART_002-O-20210609-COMP",NA,NA,NA,NA,14.8333333333333,1.223,4.02333333333333,3.42,44.035076,-71.272844,550.6,"peakGreenness","deciduousForest"
"BART_002-O-20220608-COMP",-0.8,-28.8,2.04333333333333,45.18,11.9666666666667,3.39733333333333,4.84,4.14666666666667,44.035076,-71.272844,550.6,"peakGreenness","deciduousForest"
