ncbi_species_taxid	accession	ncbi_genbank_assembly_accession	ncbi_organism_name	kingdom	phylum	species	ncbi_taxonomy	source	is_published
14	GCA_011333985.1	GCA_011333985.1	Dictyoglomus thermophilum	Bacteria	Dictyoglomota	Dictyoglomus thermophilum	d__Bacteria;p__Dictyoglomi;c__Dictyoglomia;o__Dictyoglomales;f__Dictyoglomaceae;g__Dictyoglomus;s__Dictyoglomus thermophilum	GTDB_207	Y
78	GCA_017745235.1	GCA_017745235.1	Caulobacter sp.	Bacteria	Pseudomonadota	Caulobacter sp.	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__	GTDB_207	Y
82	GCA_016716675.1	GCA_016716675.1	Hyphomicrobium sp.	Bacteria	Pseudomonadota	Hyphomicrobium sp.	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium;s__	GTDB_207	Y
82	GCA_003987855.1	GCA_003987855.1	Hyphomicrobium sp.	Bacteria	Pseudomonadota	Hyphomicrobium sp.	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium;s__	GTDB_207	Y
82	GCA_002928735.1	GCA_002928735.1	Hyphomicrobium sp.	Bacteria	Pseudomonadota	Hyphomicrobium sp.	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium;s__	GTDB_207	Y
82	GCA_017512425.1	GCA_017512425.1	Hyphomicrobium sp.	Bacteria	Pseudomonadota	Hyphomicrobium sp.	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium;s__	GTDB_207	Y
82	GCA_013141015.1	GCA_013141015.1	Hyphomicrobium sp.	Bacteria	Pseudomonadota	Hyphomicrobium sp.	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium;s__	GTDB_207	Y
87	GCA_018402285.1	GCA_018402285.1	Hyphomonas sp.	Bacteria	Pseudomonadota	Hyphomonas sp.	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomonadales;f__Hyphomonadaceae;g__Hyphomonas;s__	GTDB_207	Y
87	GCA_016124495.1	GCA_016124495.1	Hyphomonas sp.	Bacteria	Pseudomonadota	Hyphomonas sp.	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomonadales;f__Hyphomonadaceae;g__Hyphomonas;s__	GTDB_207	Y
87	GCA_017792365.1	GCA_017792365.1	Hyphomonas sp.	Bacteria	Pseudomonadota	Hyphomonas sp.	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomonadales;f__Hyphomonadaceae;g__Hyphomonas;s__	GTDB_207	Y
