ncbi_species_taxid	accession	ncbi_organism_name	kingdom	phylum	species	fasta_file_path	ncbi_taxonomy	source	is_published
33	GCA_023195975.1	Myxococcus fulvus		Myxococcota	Myxococcus fulvus	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_023195975.1/GCA_023195975.1_ASM2319597v1_genomic.fna.gz	k__;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Myxococcus;s__Myxococcus fulvus	JGI GOLD	NA
33	GCA_900111765.1	Myxococcus fulvus		Myxococcota	Myxococcus fulvus	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_900111765.1/GCA_900111765.1_IMG-taxon_2693429886_annotated_assembly_genomic.fna.gz	k__;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Myxococcus;s__Myxococcus fulvus	JGI GOLD	Unrestricted
34	GCA_006400955.1	Myxococcus xanthus		Myxococcota	Myxococcus xanthus	/projectnb/microbiome/dgolden/Struo2/data/JGI_genomes/GCA_006400955.1_ASM640095v1_genomic.fna.gz	k__;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Myxococcus;s__Myxococcus xanthus	JGI GOLD	NA
34	GCA_006401215.1	Myxococcus xanthus		Myxococcota	Myxococcus xanthus	/projectnb/microbiome/dgolden/Struo2/data/JGI_genomes/GCA_006401215.1_ASM640121v1_genomic.fna.gz	k__;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Myxococcus;s__Myxococcus xanthus	JGI GOLD	NA
34	GCA_006401635.1	Myxococcus xanthus		Myxococcota	Myxococcus xanthus	/projectnb/microbiome/dgolden/Struo2/data/JGI_genomes/GCA_006401635.1_ASM640163v1_genomic.fna.gz	k__;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Myxococcus;s__Myxococcus xanthus	JGI GOLD	NA
34	GCA_006402015.1	Myxococcus xanthus		Myxococcota	Myxococcus xanthus	/projectnb/microbiome/dgolden/Struo2/data/JGI_genomes/GCA_006402015.1_ASM640201v1_genomic.fna.gz	k__;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Myxococcus;s__Myxococcus xanthus	JGI GOLD	NA
34	GCA_006402415.1	Myxococcus xanthus		Myxococcota	Myxococcus xanthus	/projectnb/microbiome/dgolden/Struo2/data/JGI_genomes/GCA_006402415.1_ASM640241v1_genomic.fna.gz	k__;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Myxococcus;s__Myxococcus xanthus	JGI GOLD	NA
34	GCA_006402735.1	Myxococcus xanthus		Myxococcota	Myxococcus xanthus	/projectnb/microbiome/dgolden/Struo2/data/JGI_genomes/GCA_006402735.1_ASM640273v1_genomic.fna.gz	k__;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Myxococcus;s__Myxococcus xanthus	JGI GOLD	NA
34	GCA_015775755.1	Myxococcus xanthus		Myxococcota	Myxococcus xanthus	/projectnb/microbiome/dgolden/Struo2/data/JGI_genomes/GCA_015775755.1_ASM1577575v1_genomic.fna.gz	k__;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Myxococcus;s__Myxococcus xanthus	JGI GOLD	NA
34	GCA_016698685.1	Myxococcus xanthus		Myxococcota	Myxococcus xanthus	/projectnb/microbiome/dgolden/Struo2/data/JGI_genomes/GCA_016698685.1_ASM1669868v1_genomic.fna.gz	k__;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Myxococcus;s__Myxococcus xanthus	JGI GOLD	NA
