ncbi_species_taxid	accession	ncbi_organism_name	kingdom	phylum	species	fasta_file_path	ncbi_taxonomy	source	is_published
173	GCA_001569005.1	Leptospira interrogans	Bacteria	Spirochaetota	Leptospira interrogans	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_001569005.1_ASM156900v1_genomic.fna.gz	k__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira interrogans	JGI GOLD - RefSoil	NA
235	GCA_000740135.1	Brucella abortus	Bacteria	Pseudomonadota	Brucella abortus	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000740135.1_ASM74013v1_genomic.fna.gz	k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Brucellaceae;g__Brucella;s__Brucella abortus	JGI GOLD - RefSoil	NA
340	GCA_001186415.1	Xanthomonas campestris pv. campestris	Bacteria	Pseudomonadota	Xanthomonas campestris	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_001186415.1_ASM118641v1_genomic.fna.gz	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas campestris	JGI GOLD - RefSoil	NA
382	GCA_002197045.1	Sinorhizobium meliloti	Bacteria	Pseudomonadota	Sinorhizobium meliloti	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_002197045.1_ASM219704v1_genomic.fna.gz	k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Sinorhizobium;s__Sinorhizobium meliloti	JGI GOLD - RefSoil	NA
588	GCA_000754345.1	Providencia stuartii	Bacteria	Pseudomonadota	Providencia stuartii	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000754345.1_ASM75434v1_genomic.fna.gz	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Providencia;s__Providencia stuartii	JGI GOLD - RefSoil	NA
633	GCA_000613105.1	Yersinia pseudotuberculosis	Bacteria	Pseudomonadota	Yersinia pseudotuberculosis	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000613105.1_CEB14_0017_genomic.fna.gz	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Yersinia;s__Yersinia pseudotuberculosis	JGI GOLD - RefSoil	NA
1288	GCA_000706685.1	Staphylococcus xylosus	Bacteria	Bacillota	Staphylococcus xylosus	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000706685.1_ASM70668v1_genomic.fna.gz	k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus	JGI GOLD - RefSoil	NA
1314	GCA_000685485.1	Streptococcus pyogenes	Bacteria	Bacillota	Streptococcus pyogenes	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000685485.1_SP1_contigs.fa_genomic.fna.gz	k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pyogenes	JGI GOLD - RefSoil	NA
1392	GCA_022221345.1	Bacillus anthracis	Bacteria	Bacillota	Bacillus anthracis	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_022221345.1_ASM2222134v1_genomic.fna.gz	k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus anthracis	JGI GOLD - RefSoil	NA
1402	GCA_022630555.1	Bacillus licheniformis	Bacteria	Bacillota	Bacillus licheniformis	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_022630555.1_ASM2263055v1_genomic.fna.gz	k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	JGI GOLD - RefSoil	NA
1511	GCA_000196455.1	Acetoanaerobium sticklandii	Bacteria	Bacillota	Acetoanaerobium sticklandii	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000196455.1_ASM19645v1_genomic.fna.gz	k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Acetoanaerobium;s__Acetoanaerobium sticklandii	JGI GOLD - RefSoil	NA
1719	GCA_000729725.1	Corynebacterium pseudotuberculosis	Bacteria	Actinomycetota	Corynebacterium pseudotuberculosis	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000729725.1_ASM72972v1_genomic.fna.gz	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium pseudotuberculosis	JGI GOLD - RefSoil	NA
1971	GCA_014650635.1	Streptomyces noursei	Bacteria	Actinomycetota	Streptomyces noursei	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_014650635.1_ASM1465063v1_genomic.fna.gz	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces noursei	JGI GOLD - RefSoil	NA
13035	GCA_000317615.1	Dactylococcopsis salina PCC 8305	Bacteria	Cyanobacteriota	Dactylococcopsis salina	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000317615.1_ASM31761v1_genomic.fna.gz	k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Synechococcales;f__Synechococcaceae;g__Dactylococcopsis;s__Dactylococcopsis salina	JGI GOLD - RefSoil	Unrestricted
28450	GCA_000756145.1	Burkholderia pseudomallei	Bacteria	Pseudomonadota	Burkholderia pseudomallei	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000756145.1_ASM75614v1_genomic.fna.gz	k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia pseudomallei	JGI GOLD - RefSoil	NA
41431	GCA_000021805.1	Rippkaea orientalis PCC 8801	Bacteria	Cyanobacteriota	Rippkaea orientalis	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000021805.1_ASM2180v1_genomic.fna.gz	k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Chroococcales;f__Aphanothecaceae;g__Rippkaea;s__Rippkaea orientalis	JGI GOLD - RefSoil	Unrestricted
42256	GCA_000661895.1	Rubrobacter radiotolerans	Bacteria	Actinomycetota	Rubrobacter radiotolerans	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000661895.1_ASM66189v1_genomic.fna.gz	k__Bacteria;p__Actinomycetota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__Rubrobacter radiotolerans	JGI GOLD - RefSoil	NA
