samp_name,fungal_proportion,readdepth,db_name,n_reads,pass_filter,n_pass_filter,percent_classified_passing,metric,value,Database
fungprop_10_readdepth_.1M_gtdb_207_unfiltered,10,100000,gtdb_207_unfiltered,45171,1,42168,0.9335192933519293,percent_passing,0.84336,GTDB r207
fungprop_10_readdepth_.1M_gtdb_207_unfiltered,10,100000,gtdb_207_unfiltered,45171,1,42168,0.9335192933519293,percent_classified,0.90342,GTDB r207
fungprop_10_readdepth_.1M_pluspf,10,100000,pluspf,36883,1,28397,0.7699211018626467,percent_passing,0.56794,PlusPF
fungprop_10_readdepth_.1M_pluspf,10,100000,pluspf,36883,1,28397,0.7699211018626467,percent_classified,0.73766,PlusPF
fungprop_10_readdepth_.1M_soil_microbe_db,10,100000,soil_microbe_db,49474,1,48303,0.9763310021425395,percent_passing,0.96606,SoilMicrobeDB
fungprop_10_readdepth_.1M_soil_microbe_db,10,100000,soil_microbe_db,49474,1,48303,0.9763310021425395,percent_classified,0.98948,SoilMicrobeDB
fungprop_10_readdepth_1M_gtdb_207_unfiltered,10,1000000,gtdb_207_unfiltered,451666,1,420887,0.9318545119623792,percent_passing,0.841774,GTDB r207
fungprop_10_readdepth_1M_gtdb_207_unfiltered,10,1000000,gtdb_207_unfiltered,451666,1,420887,0.9318545119623792,percent_classified,0.903332,GTDB r207
fungprop_10_readdepth_1M_pluspf,10,1000000,pluspf,369894,1,284166,0.7682363055361806,percent_passing,0.568332,PlusPF
fungprop_10_readdepth_1M_pluspf,10,1000000,pluspf,369894,1,284166,0.7682363055361806,percent_classified,0.739788,PlusPF
fungprop_10_readdepth_1M_soil_microbe_db,10,1000000,soil_microbe_db,494815,1,483643,0.9774218647373261,percent_passing,0.967286,SoilMicrobeDB
fungprop_10_readdepth_1M_soil_microbe_db,10,1000000,soil_microbe_db,494815,1,483643,0.9774218647373261,percent_classified,0.98963,SoilMicrobeDB
fungprop_10_readdepth_5M_gtdb_207_unfiltered,10,5000000,gtdb_207_unfiltered,2258605,1,2104042,0.9315670513436392,percent_passing,0.8416168,GTDB r207
fungprop_10_readdepth_5M_gtdb_207_unfiltered,10,5000000,gtdb_207_unfiltered,2258605,1,2104042,0.9315670513436392,percent_classified,0.903442,GTDB r207
fungprop_10_readdepth_5M_pluspf,10,5000000,pluspf,1846778,1,1420148,0.7689868516952227,percent_passing,0.5680592,PlusPF
fungprop_10_readdepth_5M_pluspf,10,5000000,pluspf,1846778,1,1420148,0.7689868516952227,percent_classified,0.7387112,PlusPF
fungprop_10_readdepth_5M_soil_microbe_db,10,5000000,soil_microbe_db,2473790,1,2417269,0.9771520622203178,percent_passing,0.9669076,SoilMicrobeDB
fungprop_10_readdepth_5M_soil_microbe_db,10,5000000,soil_microbe_db,2473790,1,2417269,0.9771520622203178,percent_classified,0.989516,SoilMicrobeDB
fungprop_15_readdepth_.1M_gtdb_207_unfiltered,15,100000,gtdb_207_unfiltered,42750,1,39792,0.9308070175438596,percent_passing,0.79584,GTDB r207
fungprop_15_readdepth_.1M_gtdb_207_unfiltered,15,100000,gtdb_207_unfiltered,42750,1,39792,0.9308070175438596,percent_classified,0.855,GTDB r207
fungprop_15_readdepth_.1M_pluspf,15,100000,pluspf,37857,1,29499,0.7792218083841825,percent_passing,0.58998,PlusPF
fungprop_15_readdepth_.1M_pluspf,15,100000,pluspf,37857,1,29499,0.7792218083841825,percent_classified,0.75714,PlusPF
fungprop_15_readdepth_.1M_soil_microbe_db,15,100000,soil_microbe_db,49838,1,48704,0.9772462779405273,percent_passing,0.97408,SoilMicrobeDB
fungprop_15_readdepth_.1M_soil_microbe_db,15,100000,soil_microbe_db,49838,1,48704,0.9772462779405273,percent_classified,0.99676,SoilMicrobeDB
fungprop_15_readdepth_1M_gtdb_207_unfiltered,15,1000000,gtdb_207_unfiltered,427479,1,397597,0.9300971509711589,percent_passing,0.795194,GTDB r207
fungprop_15_readdepth_1M_gtdb_207_unfiltered,15,1000000,gtdb_207_unfiltered,427479,1,397597,0.9300971509711589,percent_classified,0.854958,GTDB r207
