FA,phylum
10Me17:0,Actino
10Me18:0,Actino
C18:1w9cis,Fungi
"C18:2w6,9",Fungi
"C18:3w6,9,12",Fungi
C14:0,General
C15:0,General
C16:0,General
C17:0,General
C18:0,General
C18:1w9trans,unspecified
C14:0_3-OH,Gram -
C14:1w5,Gram -
C15:1w5,Gram -
C16:1w5,Gram -
C16:1w7,Gram -
C16:1w9,Gram -
C17:0cy,Gram -
C17:1w8,Gram -
C18:1w5,Gram -
C18:1w7,Gram -
C19:0cy(w9),Gram -
C19:1w9,Gram -
C14:0i,Gram +
C15:0a,Gram +
C15:0i,Gram +
C16:0i,Gram +
C17:0a,Gram +
C17:0i,Gram +
C18:0i,Gram +
C16:0_Me,unspecified
C16:1w6i,unspecified
C17:0_Me,unspecified
