ncbi_species_taxid	accession	ncbi_organism_name	species	fasta_file_path	ncbi_taxonomy	source	is_published
4814	Chytriomyces hyalinus JEL632 v1.0	Chytriomyces hyalinus	Chytriomyces hyalinus	/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/Chyhya1_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Chytridiales;f__Chytriomycetaceae;g__Chytriomyces;s__Chytriomyces hyalinus	Mycocosm	Y
4841	Mucor racemosus	Mucor racemosus	Mucor racemosus	/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/Mucrac1_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Mucoraceae;g__Mucor;s__Mucor racemosus	Mycocosm	Y
4850	Blakeslea trispora NRRL 2456 v1.0	Blakeslea trispora	Blakeslea trispora	/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/Blatri1_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Choanephoraceae;g__Blakeslea;s__Blakeslea trispora	Mycocosm	Y
4855	Mortierella globulifera AD054	Mortierella		/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/MoglAD054_1_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Mucoromycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__;s__	Mycocosm	Y
4855	Mortierella globulifera REB-010B	Mortierella		/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/MoglREB010B_1_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Mucoromycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__;s__	Mycocosm	Y
4864	Coemansia mojavensis RSA 71 v1.0	Coemansia mojavensis	Coemansia mojavensis	/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/Coemoj1_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Zoopagomycota;c__Kickxellomycetes;o__Kickxellales;f__Kickxellaceae;g__Coemansia;s__Coemansia mojavensis	Mycocosm	Y
4874	Gigaspora margarita BEG34	Gigaspora margarita	Gigaspora margarita	/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/Gigmar1_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Mucoromycota;c__Glomeromycetes;o__Diversisporales;f__Gigasporaceae;g__Gigaspora;s__Gigaspora margarita	Mycocosm	Y
4896	Schizosaccharomyces pombe	Schizosaccharomyces pombe	Schizosaccharomyces pombe	/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/Schpo1_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Ascomycota;c__Schizosaccharomycetes;o__Schizosaccharomycetales;f__Schizosaccharomycetaceae;g__Schizosaccharomyces;s__Schizosaccharomyces pombe	Mycocosm	Y
4903	Cyberlindnera jadinii NRRL Y-1542 v1.0	Cyberlindnera jadinii	Cyberlindnera jadinii	/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/Cybja1_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Phaffomycetaceae;g__Cyberlindnera;s__Cyberlindnera jadinii	Mycocosm	Y
4909	Pichia kudriavzevii CBS573	Pichia kudriavzevii	Pichia kudriavzevii	/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/Pickud1_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Pichia;s__Pichia kudriavzevii	Mycocosm	Y
