ncbi_species_taxid	accession	ncbi_organism_name	species	fasta_file_path	ncbi_taxonomy	source	is_published
4814	Chytriomyces hyalinus JEL632 v1.0	Chytriomyces hyalinus	Chytriomyces hyalinus	/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/Chyhya1_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Chytridiales;f__Chytriomycetaceae;g__Chytriomyces;s__Chytriomyces hyalinus	Mycocosm	Y
4837	Phycomyces blakesleeanus L51 v1.0	Phycomyces blakesleeanus	Phycomyces blakesleeanus	/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/Phybl_L51_1_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Phycomycetaceae;g__Phycomyces;s__Phycomyces blakesleeanus	Mycocosm	N
4837	Phycomyces blakesleeanus UBC1 v1.0	Phycomyces blakesleeanus	Phycomyces blakesleeanus	/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/Phybla1_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Phycomycetaceae;g__Phycomyces;s__Phycomyces blakesleeanus	Mycocosm	N
4837	Phycomyces blakesleeanus UBC21 v2.0	Phycomyces blakesleeanus	Phycomyces blakesleeanus	/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/PhyblU21_2_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Phycomycetaceae;g__Phycomyces;s__Phycomyces blakesleeanus	Mycocosm	N
4840	Rhizomucor pusillus CBS 18367	Rhizomucor pusillus	Rhizomucor pusillus	/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/Rhipu1_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Lichtheimiaceae;g__Rhizomucor;s__Rhizomucor pusillus	Mycocosm	N
4841	Mucor racemosus	Mucor racemosus	Mucor racemosus	/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/Mucrac1_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Mucoraceae;g__Mucor;s__Mucor racemosus	Mycocosm	Y
4846	Rhizopus stolonifer NRRL 66455 v1.0	Rhizopus stolonifer	Rhizopus stolonifer	/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/Rhisto1_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Rhizopodaceae;g__Rhizopus;s__Rhizopus stolonifer	Mycocosm	N
4850	Blakeslea trispora F921 v1.0	Blakeslea trispora	Blakeslea trispora	/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/Blatri_F921_1_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Choanephoraceae;g__Blakeslea;s__Blakeslea trispora	Mycocosm	N
4850	Blakeslea trispora F986 v1.0	Blakeslea trispora	Blakeslea trispora	/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/Blatri_F986_2_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Choanephoraceae;g__Blakeslea;s__Blakeslea trispora	Mycocosm	N
4850	Blakeslea trispora NRRL 2456 v1.0	Blakeslea trispora	Blakeslea trispora	/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/Blatri1_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Choanephoraceae;g__Blakeslea;s__Blakeslea trispora	Mycocosm	Y
4855	Mortierella globulifera AD054	Mortierella		/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/MoglAD054_1_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Mucoromycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__;s__	Mycocosm	Y
4855	Mortierella globulifera REB-010B	Mortierella		/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/MoglREB010B_1_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Mucoromycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__;s__	Mycocosm	Y
4864	Coemansia mojavensis RSA 71 v1.0	Coemansia mojavensis	Coemansia mojavensis	/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/Coemoj1_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Zoopagomycota;c__Kickxellomycetes;o__Kickxellales;f__Kickxellaceae;g__Coemansia;s__Coemansia mojavensis	Mycocosm	Y
4874	Gigaspora margarita BEG34	Gigaspora margarita	Gigaspora margarita	/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/Gigmar1_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Mucoromycota;c__Glomeromycetes;o__Diversisporales;f__Gigasporaceae;g__Gigaspora;s__Gigaspora margarita	Mycocosm	Y
4896	Schizosaccharomyces pombe	Schizosaccharomyces pombe	Schizosaccharomyces pombe	/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/Schpo1_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Ascomycota;c__Schizosaccharomycetes;o__Schizosaccharomycetales;f__Schizosaccharomycetaceae;g__Schizosaccharomyces;s__Schizosaccharomyces pombe	Mycocosm	Y
4903	Cyberlindnera jadinii NRRL Y-1542 v1.0	Cyberlindnera jadinii	Cyberlindnera jadinii	/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/Cybja1_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Phaffomycetaceae;g__Cyberlindnera;s__Cyberlindnera jadinii	Mycocosm	Y
4909	Issatchenkia orientalis ATCC PTA-6658 v2.0	Pichia kudriavzevii	Pichia kudriavzevii	/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/Isori2_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Pichia;s__Pichia kudriavzevii	Mycocosm	N
4909	Issatchenkia orientalis ATCC 32196 v2.0	Pichia kudriavzevii	Pichia kudriavzevii	/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/Issori2_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Pichia;s__Pichia kudriavzevii	Mycocosm	N
4909	Issatchenkia orientalis SD108 v2.0	Pichia kudriavzevii	Pichia kudriavzevii	/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/Issorie2_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Pichia;s__Pichia kudriavzevii	Mycocosm	N
4909	Pichia kudriavzevii CBS573	Pichia kudriavzevii	Pichia kudriavzevii	/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/Pickud1_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Pichia;s__Pichia kudriavzevii	Mycocosm	Y
4909	Pichia kudriavzevii YB-431	Pichia kudriavzevii	Pichia kudriavzevii	/projectnb2/talbot-lab-data/zrwerbin/soil_genome_db/genomes/mycocosm_genomes/Pickudri1_AssemblyScaffolds_Repeatmasked.fasta.gz	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Pichia;s__Pichia kudriavzevii	Mycocosm	N
